recommendation_instance_id,weekly_workload_minutes,cap,pass
d8644aea7fcc180a383d1738,160,180,True
bd254bea588e56b3cf978b2d,100,180,True
6b85bd049ec136af69f33821,115,180,True
ccdb397908bdcff552e1ae3e,100,180,True
6950eae49a1bff0873a81ccd,115,180,True
d7f2fc9c4d61f2b584223338,100,180,True
4ed040f46b6bb617a5c63928,160,180,True
f4ec69205cd03474a20ae849,115,180,True
0846b14ed9ecea61327b70e9,115,180,True
4c4f1ba38bd24315b761c808,100,180,True
49aeb9cf9a48383c2ac7d059,115,180,True
a3e6009a859834ee57b0b4ec,115,180,True
7422aa164edcac2ba589e108,160,180,True
bda34be5675c2f248331a8d4,160,180,True
a1e01dc51aa189cda598f6aa,160,180,True
dd66b9a9850c3d7fd84fe4e8,115,180,True
33d81bc79f0342eaec01b031,115,180,True
dcf35568d8e7847dbe41ebd7,100,180,True
5fd37de84ede35d924b9288b,115,180,True
d2ce9f55b9721c136ddd4ac9,115,180,True
7592d121a271ec6c60ff5ed4,160,180,True
b0871af43d66a8a088b94f4b,115,180,True
35467b8b5f8ecea609159429,100,180,True
64e287ac5e7190e07de88135,115,180,True
63f6fc123d86b5d7b65c693b,100,180,True
21fac501529502635c7a26bc,100,180,True
da06f8b72909b9a7ee4fa9ff,115,180,True
7e5df9178c5d95ecb5f34f43,115,180,True
528547e8221314519893e476,160,180,True
0597e9c147362adb42d45f41,100,180,True
c6e37cff19de9f84d8c79bdc,100,180,True
3629913c1d6aa329338107b9,115,180,True
eb1086924b137a3ec2d04b28,115,180,True
008e8839b45cd59ce8f352d9,115,180,True
4b331ede511e5bbf05fbb99d,115,180,True
425a5171c7ea74956d8edf65,100,180,True
b75b5886c0db9c31ac9cc29b,160,180,True
2797d6e85fde71ee4176ccf2,115,180,True
f021fe0c49e3a38e0fe678f3,160,180,True
f4fb13f55ea431389572eb2b,115,180,True
438733a851ab7514da0249ec,100,180,True
7bde2d9505d931d34b6c727b,100,180,True
3f34b7b96457176b97aec108,160,180,True
8be5fd53b0442b97610c5285,115,180,True
d04f845cc63d8e20c4d0f246,115,180,True
